Ref,Val,Package,PosX,PosY,Rot,Side
"SP1","Simulation_Port","Simulation_Port",3.000000,3.093000,-90.000000,top
"SP2","Simulation_Port","Simulation_Port",20.438000,23.700000,180.000000,top
"SP3","Simulation_Port","Simulation_Port",3.000000,4.985000,-90.000000,top
"SP4","Simulation_Port","Simulation_Port",21.627000,23.700000,180.000000,top
